rank,gene,target_class,allelic_series_class,verdict,requirements_met,failing_requirements,human_direction,human_direction_note,molecular_direction,molecular_direction_note,animal_agreement,animal_agreement_note,accessible_intervention,accessible_intervention_note,human_causal_grade_increasing,human_increasing_variants,n_mouse_longer,n_mouse_shorter,subcellular_location,transmembrane_regions,n_chembl_targets,chembl_activities,uniprot,promotable
11,FBN1,binding protein / matrix,SYNDROMIC_OVERGROWTH,two of four,2,partial human perturbation increases proportionate height; animal genetics agree with the human direction,False,protein-altering variants LOWER height - wrong direction,True,mouse allele type is stated: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,1,2,"Secreted; Secreted, extracellular space, extracellular matrix",0,0,0,P35555,False
12,FGFR3,cell-surface receptor,SYNDROMIC_OVERGROWTH,two of four,2,partial human perturbation increases proportionate height; animal genetics agree with the human direction,False,no protein-altering human height variant,True,mouse allele type is stated: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,1,9,Cell membrane; Cytoplasmic vesicle; Endoplasmic reticulum; Secreted,1,2,16035,P22607,False
13,IGF2R,cell-surface receptor,DIRECTION_UNRESOLVED,two of four,2,partial human perturbation increases proportionate height; animal genetics agree with the human direction,False,no protein-altering human height variant,True,mouse allele type is stated: heterozygous null - PARTIAL LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,1,1,Endosome membrane; Golgi apparatus membrane,1,1,34,P11717,False
14,ACAN,binding protein / matrix,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs1042630; rs28559926; rs3817428; rs938608),False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,15,rs1042630; rs28559926; rs3817428; rs938608,0,6,"Secreted, extracellular space, extracellular matrix",0,1,25,P16112,False
15,ADAMTS17,extracellular protease,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs2573652; rs4369638; rs72755233),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,12,rs2573652; rs4369638; rs72755233,0,4,"Secreted, extracellular space, extracellular matrix",0,0,0,Q8TE56,False
16,CHSY1,binding protein / matrix,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs62621400),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,5,rs62621400,0,6,"Golgi apparatus, Golgi stack membrane; Secreted",1,0,0,Q86X52,False
17,MATN3,binding protein / matrix,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs52826764),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,5,rs52826764,0,3,Secreted,0,0,0,O15232,False
18,GHR,cell-surface receptor,SYNDROMIC_OVERGROWTH,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs6180; rs6184),False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,3,rs6180; rs6184,0,8,Cell membrane; Secreted,1,1,4,P10912,False
19,MMP14,extracellular protease,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs17880989),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,cell-surface - reachable at the receptor level,3,rs17880989,0,5,Cell membrane; Cytoplasm; Melanosome,1,2,2161,P50281,False
20,LTBP3,binding protein / matrix,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs763648441),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,2,rs763648441,0,4,"Secreted; Secreted, extracellular space, extracellular matrix",0,0,0,Q9NS15,False
